Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,NURDS,433.225000,,0.000000,TSQL,118.8,118.8,023,NN,FM,5.00,,,,,,
1,PMR 01,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,PMR 02,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,PMR 03,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,PMR 04,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,PMR 05,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,PMR 06,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,PMR 07,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,PMR 08,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,PMR 09,446.106250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,PMR 10,446.118750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,PMR 11,446.131250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,PMR 12,446.143750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,PMR 13,446.156250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,PMR 14,446.168750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,PMR 15,446.181250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
16,PMR 16,446.193750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,LPD26,433.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,LPD27,433.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,LPD28,433.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
